longitude,latitude,value
148.7565195,45.55805963,1
148.72957,45.54907648,2
148.6487216,45.54009333,2
148.6846543,45.54009333,4
148.6397385,45.53111018,4
148.6846543,45.53111018,6
141.911357,45.52212702,2
148.6487216,45.52212702,5
148.6846543,45.52212702,6
141.8933907,45.51314387,3
148.6487216,45.51314387,5
148.6846543,45.51314387,6
141.8933907,45.50416072,5
148.6307553,45.50416072,4
148.6846543,45.50416072,5
141.8754244,45.49517756,5
148.5858396,45.49517756,2
141.8754244,45.48619441,5
148.5768564,45.48619441,4
148.6846543,45.48619441,5
141.8754244,45.47721126,5
148.5768564,45.47721126,5
148.6846543,45.47721126,5
141.8754244,45.46822811,5
148.5678733,45.46822811,5
141.8754244,45.45924495,5
148.5588901,45.45924495,6
148.6846543,45.45924495,5
140.968126,45.4502618,4
141.0489743,45.4502618,4
141.6418624,45.4502618,0
141.8664412,45.4502618,5
141.8844076,45.4502618,6
148.5319407,45.4502618,2
140.968126,45.44127865,3
141.031008,45.44127865,2
141.6418624,45.44127865,2
141.8664412,45.44127865,3
141.8844076,45.44127865,6
147.9300694,45.44127865,3
148.5229575,45.44127865,5
148.6846543,45.44127865,5
140.9860923,45.43229549,4
141.6508456,45.43229549,5
141.8574581,45.43229549,3
147.9121031,45.43229549,3
148.5139743,45.43229549,4
148.5319407,45.43229549,6
140.9950754,45.42331234,5
141.6418624,45.42331234,4
141.8305086,45.42331234,2
141.8844076,45.42331234,6
147.8941368,45.42331234,3
148.496008,45.42331234,3
148.5319407,45.42331234,6
140.9860923,45.41432919,5
141.6418624,45.41432919,5
141.7496603,45.41432919,2
141.8215255,45.41432919,4
147.8941368,45.41432919,4
148.4870249,45.41432919,5
148.6846543,45.41432919,5
140.9860923,45.40534604,5
141.6418624,45.40534604,5
141.7406771,45.40534604,2
141.8844076,45.40534604,6
147.8851536,45.40534604,4
147.90312,45.40534604,4
148.4690586,45.40534604,4
148.6846543,45.40534604,5
140.9860923,45.39636288,5
141.6418624,45.39636288,5
141.731694,45.39636288,4
142.0550875,45.39636288,5
147.8671873,45.39636288,3
147.90312,45.39636288,4
148.4780417,45.39636288,6
148.5319407,45.39636288,5
140.9860923,45.38737973,4
141.6418624,45.38737973,6
141.731694,45.38737973,5
142.0550875,45.38737973,5
147.8671873,45.38737973,3
147.90312,45.38737973,4
148.4870249,45.38737973,6
148.6846543,45.38737973,5
140.9860923,45.37839658,5
141.6418624,45.37839658,5
141.731694,45.37839658,5
142.0550875,45.37839658,6
147.8582042,45.37839658,4
148.4600754,45.37839658,2
148.5319407,45.37839658,5
140.9860923,45.36941342,5
141.6598287,45.36941342,5
141.731694,45.36941342,5
142.0550875,45.36941342,6
147.849221,45.36941342,4
147.90312,45.36941342,4
148.4600754,45.36941342,5
148.5319407,45.36941342,5
140.9950754,45.36043027,5
141.6688119,45.36043027,6
141.8844076,45.36043027,6
147.8582042,45.36043027,5
148.4510923,45.36043027,5
148.6846543,45.36043027,5
141.0040586,45.35144712,5
141.6508456,45.35144712,5
141.8844076,45.35144712,6
147.8671873,45.35144712,5
147.90312,45.35144712,3
148.433126,45.35144712,4
148.6846543,45.35144712,5
141.0040586,45.34246397,5
141.6418624,45.34246397,4
141.731694,45.34246397,5
142.0550875,45.34246397,6
147.849221,45.34246397,5
147.90312,45.34246397,3
148.4151597,45.34246397,2
148.6846543,45.34246397,5
141.0040586,45.33348081,5
141.6418624,45.33348081,5
141.731694,45.33348081,6
142.0550875,45.33348081,6
147.8671873,45.33348081,5
147.90312,45.33348081,3
148.4061765,45.33348081,4
148.5319407,45.33348081,4
141.0130417,45.32449766,5
141.6418624,45.32449766,5
141.731694,45.32449766,5
142.0550875,45.32449766,6
147.8582042,45.32449766,3
148.3971934,45.32449766,3
141.0130417,45.31551451,5
141.614913,45.31551451,2
141.8844076,45.31551451,5
147.8671873,45.31551451,5
147.90312,45.31551451,5
148.3702439,45.31551451,4
148.5319407,45.31551451,5
141.0220249,45.30653135,3
141.614913,45.30653135,8
141.8844076,45.30653135,5
142.2078011,45.30653135,4
147.8761705,45.30653135,5
148.3522776,45.30653135,4
148.5319407,45.30653135,5
141.031008,45.2975482,4
141.614913,45.2975482,3
141.8844076,45.2975482,5
142.2078011,45.2975482,5
147.8671873,45.2975482,4
147.90312,45.2975482,5
148.3522776,45.2975482,5
148.5319407,45.2975482,5
141.0220249,45.28856505,4
141.614913,45.28856505,4
141.8844076,45.28856505,5
142.2078011,45.28856505,5
147.8761705,45.28856505,5
148.3343113,45.28856505,3
148.5319407,45.28856505,4
141.0220249,45.2795819,5
141.6238961,45.2795819,6
141.731694,45.2795819,5
142.0550875,45.2795819,6
147.8761705,45.2795819,5
148.2804124,45.2795819,1
141.031008,45.27059874,5
141.6059298,45.27059874,4
141.731694,45.27059874,5
142.0550875,45.27059874,6
147.8671873,45.27059874,4
147.90312,45.27059874,6
148.2354966,45.27059874,1
148.3792271,45.27059874,5
141.1927048,45.26161559,2
141.5969467,45.26161559,3
141.8844076,45.26161559,5
142.2078011,45.26161559,6
147.8671873,45.26161559,4
147.90312,45.26161559,6
148.2085472,45.26161559,4
141.1837216,45.25263244,4
141.5969467,45.25263244,5
141.8844076,45.25263244,5
142.2078011,45.25263244,6
147.8851536,45.25263244,5
147.90312,45.25263244,5
148.2085472,45.25263244,5
148.4870249,45.25263244,3
141.1747385,45.24364928,5
141.5879635,45.24364928,5
141.731694,45.24364928,6
142.0550875,45.24364928,6
147.8761705,45.24364928,5
148.0558336,45.24364928,5
148.3792271,45.24364928,5
141.1567722,45.23466613,5
141.2555869,45.23466613,3
141.5699972,45.23466613,5
141.731694,45.23466613,6
142.0550875,45.23466613,6
147.8671873,45.23466613,4
147.90312,45.23466613,5
148.2085472,45.23466613,5
141.1388059,45.22568298,4
141.5699972,45.22568298,5
141.731694,45.22568298,5
142.0550875,45.22568298,6
147.8761705,45.22568298,4
148.0558336,45.22568298,6
148.3792271,45.22568298,3
141.1388059,45.21669983,5
141.5699972,45.21669983,5
141.731694,45.21669983,5
142.0550875,45.21669983,6
147.8043053,45.21669983,2
