longitude,latitude,value
148.7565195,45.55805963,390.158
148.72957,45.54907648,960.534
148.6487216,45.54009333,1016.43
148.6846543,45.54009333,3112.38
148.6397385,45.53111018,3467.07
148.6846543,45.53111018,4829.76
141.911357,45.52212702,573.049
148.6487216,45.52212702,4345.46
148.6846543,45.52212702,4711.46
141.8933907,45.51314387,1633.32
148.6487216,45.51314387,4312.03
148.6846543,45.51314387,4781.62
141.8933907,45.50416072,3937.63
148.6307553,45.50416072,3508.49
148.6846543,45.50416072,4554.21
141.8754244,45.49517756,3679.93
148.5858396,45.49517756,843.977
141.8754244,45.48619441,3928.34
148.5768564,45.48619441,3219.84
148.6846543,45.48619441,4430.86
141.8754244,45.47721126,4149.73
148.5768564,45.47721126,4535.96
148.6846543,45.47721126,4553.8
141.8754244,45.46822811,4411.46
148.5678733,45.46822811,3882.05
141.8754244,45.45924495,4140.69
148.5588901,45.45924495,4782.58
148.6846543,45.45924495,4323.88
140.968126,45.4502618,3497.85
141.0489743,45.4502618,3430.32
141.6418624,45.4502618,-1525.0
141.8664412,45.4502618,3685.5
141.8844076,45.4502618,4833.93
148.5319407,45.4502618,1311.37
140.968126,45.44127865,2539.2
141.031008,45.44127865,1205.95
141.6418624,45.44127865,1253.37
141.8664412,45.44127865,1983.69
141.8844076,45.44127865,4975.28
147.9300694,45.44127865,1905.76
148.5229575,45.44127865,3908.51
148.6846543,45.44127865,4557.1
140.9860923,45.43229549,2943.45
141.6508456,45.43229549,4397.61
141.8574581,45.43229549,2394.85
147.9121031,45.43229549,2002.79
148.5139743,45.43229549,3205.48
148.5319407,45.43229549,4845.45
140.9950754,45.42331234,3695.71
141.6418624,45.42331234,3620.94
141.8305086,45.42331234,857.076
141.8844076,45.42331234,4813.11
147.8941368,45.42331234,2465.34
148.496008,45.42331234,1751.66
148.5319407,45.42331234,4931.81
140.9860923,45.41432919,4303.54
141.6418624,45.41432919,4174.87
141.7496603,45.41432919,1005.32
141.8215255,45.41432919,2999.81
147.8941368,45.41432919,3286.58
148.4870249,45.41432919,4271.77
148.6846543,45.41432919,4253.84
140.9860923,45.40534604,3755.3
141.6418624,45.40534604,4591.33
141.7406771,45.40534604,1233.69
141.8844076,45.40534604,4726.63
147.8851536,45.40534604,3156.53
147.90312,45.40534604,3457.19
148.4690586,45.40534604,2601.82
148.6846543,45.40534604,3786.15
140.9860923,45.39636288,4327.72
141.6418624,45.39636288,4690.42
141.731694,45.39636288,2667.76
142.0550875,45.39636288,3842.71
147.8671873,45.39636288,1572.12
147.90312,45.39636288,3357.65
148.4780417,45.39636288,4730.36
148.5319407,45.39636288,4678.96
140.9860923,45.38737973,3476.28
141.6418624,45.38737973,4898.78
141.731694,45.38737973,4125.01
142.0550875,45.38737973,4525.65
147.8671873,45.38737973,2517.24
147.90312,45.38737973,2826.84
